inventoryid,vendorid,vpl_name,code,category,sub_category,part_no,display_website,product_name,cost,usd_cpu,commission_price,markup_perc,current_inventory,write_offs,min_max,status,note,description,comment,question,request,quote_description,size,weight,type,name,usd_invoice,shipping_rate,shipping_cash,exchange_rate,exchange_cash,location,id_number,operator,lsd,quantity,inv_variance,average_cost,asset,revenue,buying_units,selling_units,stocking_units,preferred_price,web_price,cdn_cpu,cogs_total,date_of_purchase,purchase_cost,sell_price,markup,freight_charge,min_bin,current_stock,final_retail_price,admin_price,wholesale_price,commercial_price,client_price,minimum_billable,estimated_hours,actual_hours,msrp,unit_price,unit_cost,rent_price,rental_days,rental_weeks,rental_months,rental_years,reminder_alert,daily,weekly,monthly,annually,total_days,total_hours,total_km,total_miles,deleted,purchase_order_price,sales_order_price,include_in_pos,include_in_so,include_in_po
4193,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4194,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4195,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4196,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4197,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4198,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4199,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,M,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4200,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4201,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4202,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4203,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4204,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4205,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4206,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4207,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4208,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4209,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
4210,,,,"Budget T - Russel",,,No,,,,,,,,,,,,,,,,S,,,"Russell Adult Mesh Workout Team Cut Shorts
100% Cationic Polyester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$9.75,,,,,,,9.75,,,,,,,,,,,,,,,,0,,,,,
